id;Con;Dat;PPName;Agt
21;ALGERIA;2005;ALGERIA: BOUTEFLIKA PROCESS;PROJECT DE CHARTE POUR LA PAIX ET LA RÉCONCILIATION NATIONALE
35;ANGOLA;1991;ANGOLA: UNITA PROCESS;PEACE ACCORDS FOR ANGOLA, LISBON ('BICESSE ACCORDS')
36;ANGOLA;1991;ANGOLA: UNITA PROCESS;CEASEFIRE AGREEMENT (BICESSE ACCORDS)
37;ANGOLA;1991;ANGOLA: UNITA PROCESS;THE PROTOCOL OF ESTORIL (BICESSE ACCORDS)
38;ANGOLA;1991;ANGOLA: UNITA PROCESS;FUNDAMENTAL PRINCIPLES FOR THE ESTABLISHMENT OF PEACE IN ANGOLA (BICESSE ACCORDS)
34;ANGOLA;1993;ANGOLA: UNITA PROCESS;CONCEPTS FOR RESOLVING THE ISSUES STILL PENDING BETWEEN THE GOVERNMENT OF THE PEOPLE'S REPUBLIC OF ANGOLA AND UNITA (BICESSE ACCORDS)
33;ANGOLA;1994;ANGOLA: UNITA PROCESS;LUSAKA PROTOCOL
32;ANGOLA;1998;ANGOLA: UNITA PROCESS;FINAL TIMETABLE FOR THE IMPLEMENTATION OF THE LUSAKA PROTOCOL, APPROVED BY THE JOINT COMMISSION AT LUANDA, 9 JANUARY 1998
29;ANGOLA;1999;ANGOLA: UNITA PROCESS;AGREEMENT SIGNED BY THE GOVERNMENT OF THE REPUBLIC OF ANGOLA AND UNITA RENOVADA ON 18 FEBRUARY 1999(ANNEX II TO AGREEMENT SIGNED BY THE GOVERNMENT OF THE REPUBLIC OF ANGOLA AND UNITA RENOVADA (LUANDA PROTOCOL))
30;ANGOLA;1999;ANGOLA: UNITA PROCESS;AGREEMENT WITH UNITA-RENOVADA UPDATING THE LUSAKA PROTOCOL CONCERNING THE APPOINTMENT OF UNITA CADRES TO GOVERNMENT POSITIONS (ANNEX III TO AGREEMENT SIGNED BY THE GOVERNMENT OF THE REPUBLIC OF ANGOLA AND UNITA RENOVADA (LUANDA PROTOCOL))
31;ANGOLA;1999;ANGOLA: UNITA PROCESS;AGREEMENT WITH UNITA-RENOVADA UPDATING THE LUSAKA PROTOCOL CONCERNING THE REINSTATEMENT OF GOVERNMENT ADMINISTRATION OVER THE NATIONAL TERRITORY (LUANDA PROTOCOL)
27;ANGOLA;2002;ANGOLA: UNITA PROCESS;LUENA MEMORANDUM OF UNDERSTANDING (ADDENDUM TO THE LUSAKA PROTOCOL FOR THE CESSATION OF HOSTILITIES AND THE RESOLUTION OF THE OUTSTANDING MILITARY ISSUES UNDER THE LUSAKA PROTOCOL)
28;ANGOLA;2002;ANGOLA: UNITA PROCESS;ANGOLAN GOVERNMENT'S PEACE PLAN
40;ANGOLA/BURUNDI/CENTRAL AFRICAN REPUBLIC/DEMOCRATIC REPUBLIC OF CONGO/KENYA/REPUBLIC OF CONGO/RWANDA/SUDAN/TANZANIA/UGANDA/ZAMBIA/(AFRICAN GREAT LAKES);2004;AFRICAN GREAT LAKES: REGIONAL PROCESS;DAR-ES-SALAAM DECLARATION ON PEACE, SECURITY, DEMOCRACY AND DEVELOPMENT IN THE GREAT LAKES REGION
39;ANGOLA/BURUNDI/CENTRAL AFRICAN REPUBLIC/DEMOCRATIC REPUBLIC OF CONGO/KENYA/REPUBLIC OF CONGO/RWANDA/SUDAN/TANZANIA/UGANDA/ZAMBIA/(AFRICAN GREAT LAKES);2006;AFRICAN GREAT LAKES: REGIONAL PROCESS;PACT ON SECURITY, STABILITY, AND DEVELOPMENT IN THE GREAT LAKES REGION
41;ANGOLA/BURUNDI/CENTRAL AFRICAN REPUBLIC/DEMOCRATIC REPUBLIC OF CONGO/REPUBLIC OF CONGO/RWANDA/SOUTH AFRICA/SOUTH SUDAN/TANZANIA/UGANDA/ZAMBIA/(AFRICAN GREAT LAKES);2013;AFRICAN GREAT LAKES: REGIONAL PROCESS;PEACE, SECURITY AND COOPERATION FRAMEWORK FOR THE DEMOCRATIC REPUBLIC OF THE CONGO AND THE REGION
42;ANGOLA/CABINDA;2006;CABINDA PROCESS;MEMORANDUM OF PEACE AND UNDERSTANDING IN CABINDA PROVINCE
43;ANGOLA/CENTRAL AFRICAN REPUBLIC/DEMOCRATIC REPUBLIC OF CONGO/KENYA/REPUBLIC OF CONGO/RWANDA/SUDAN/TANZANIA/UGANDA/ZAMBIA/(AFRICAN GREAT LAKES);2006;AFRICAN GREAT LAKES: REGIONAL PROCESS;PROTOCOL OF NON-AGGRESSION AND MUTUAL DEFENCE IN THE GREAT LAKES REGION
45;ARGENTINA/UNITED KINGDOM;1990;ARGENTINA-UK: FALKLANDS PROCESS;JOINT STATEMENT OF CONFIDENCE-BUILDING MEASURES, INCLUDING AN INFORMATION AND CONSULTATION SYSTEM AND SAFETY MEASURES FOR AIR AND MARITIME NAVIGATION
44;ARGENTINA/UNITED KINGDOM;1995;ARGENTINA-UK: FALKLANDS PROCESS;JOINT DECLARATION ON COOPERATION OVER OFFSHORE ACTIVITIES IN THE SOUTH WEST ATLANTIC
65;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1992;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;JOINT STATEMENT OF THE HEADS OF STATE IN TEHRAN
54;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1993;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;JOINT COMMUNIQUE REGARDING THE RESULTS OF THE NEGOTIATIONS BETWEEN THE REPRESENTATIVES OF THE AZERBAIJAN AND NAGORNO-KARABAKH LEADERSHIPS
55;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1993;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;AGREEMENT TO EXTEND THE CEASEFIRE FOR A PERIOD OF 3 DAYS
56;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1993;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;AGREEMENT ON THE RESUMPTION OF THE CEASEFIRE FOR A PERIOD OF 11 DAYS AND A MEETING BETWEEN THE LEADERS OF AZERBAJAN AND NAGORNO-KARABAKH
57;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1993;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;AGREEMENT ON THE RESUMPTION OF THE CEASEFIRE FOR A PERIOD OF 5 DAYS AND A MEETING BETWEEN THE LEADERS OF AZERBAIJAN AND NAGORNO KARABAKH
58;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1993;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;AGREEMENT TO EXTEND THE CEASEFIRE FOR A PERIOD OF 3 DAYS
59;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1993;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;AGREEMENT TO EXTEND THE CEASEFIRE FOR A PERIOD OF 7 DAYS
60;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1993;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;AGREEMENT TO A MEETING BETWEEN THE OFFICIALS OF AZERBAIJAN AND NAGORNO-KARABAKH ON 28 JULY 1993
61;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1993;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;AGREEMENT ON A UNIVERSAL CEASEFIRE FOR A PERIOD OF 3 DAYS
62;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1993;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;AGREEMENT ON A UNIVERSAL CEASEFIRE FOR A PERIOD OF 3 DAYS
63;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1993;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;AGREEMENT ON THE CESSATION OF HOSTILITIES IN THE AREA BETWEEN MAGADIZ AND AGDAM
64;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1993;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;AGREEMENT ON THE CESSATION OF SHELLING OF STEPANAKERT AND AGDAM
50;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1994;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;AGREEMENT ON CONFIRMATION OF COMMITMENT TO CEASEFIRE
51;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1994;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;CEASEFIRE AGREEMENT SIGNED IN BISHKEK
52;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1994;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;BISHKEK PROTOCOL
53;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1994;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;AGREEMENT ON THE IMPLEMENTATION OF THE 18 FEBRUARY 1994 PROTOCOL
49;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;1995;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;AGREEMENT ON STRENGTHENING THE CEASEFIRE
48;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;2010;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;JOINT STATEMENT BY THE HEADS OF DELEGATION OF THE OSCE MINSK GROUP CO-CHAIR COUNTRIES AND THE PRESIDENTS OF AZERBAIJAN AND ARMENIA
47;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;2011;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;JOINT STATEMENT BY THE PRESIDENTS OF THE REPUBLIC OF AZERBAIJAN, THE REPUBLIC OF ARMENIA AND THE RUSSIAN FEDERATION ON THE NAGORNO-KARABAKH SETTLEMENT
46;ARMENIA/AZERBAIJAN/NAGORNO-KARABAKH;2017;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;JOINT STATEMENT BY THE FOREIGN MINISTERS OF ARMENIA AND AZERBAIJAN AND THE CO-CHAIRS OF THE OSCE MINSK GROUP
69;ARMENIA/AZERBAIJAN/RUSSIA/(NAGORNO-KARABAKH);1991;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;ZHELEZNOVODSK DECLARATION
68;ARMENIA/AZERBAIJAN/RUSSIA/(NAGORNO-KARABAKH);2008;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;JOINT DECLARATION BETWEEN THE REPUBLIC OF ARMENIA, THE REPUBLIC OF AZERBAIJAN AND THE RUSSIAN FEDERATION
67;ARMENIA/AZERBAIJAN/RUSSIA/(NAGORNO-KARABAKH);2010;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;JOINT STATEMENT OF THE PRESIDENTS OF AZERBAIJAN, ARMENIA AND THE RUSSIAN FEDERATION ON THE SETTLEMENT OF THE NAGORNO KARABAKH CONFLICT
66;ARMENIA/AZERBAIJAN/RUSSIA/(NAGORNO-KARABAKH);2016;AZERBAIJAN-NAGORNO KARABAKH: PROCESS;JOINT STATEMENT OF THE PRESIDENTS OF THE AZERBAIJAN, ARMENIA AND RUSSIA ON KARABAKH CONFLICT SETTLEMENT
74;BAHRAIN;2001;BAHRAIN: REFORM-BASED PEACE PROCESS;NATIONAL ACTION CHARTER OF BAHRAIN
71;BAHRAIN;2011;BAHRAIN: REFORM-BASED PEACE PROCESS;BAHRAIN NATIONAL DIALOGUE PROPOSALS, EXECUTIVE SUMMARY
72;BAHRAIN;2011;BAHRAIN: REFORM-BASED PEACE PROCESS;ROYAL ORDER NO.28 OF 2011, ESTABLISHING AN INDEPENDENT COMMISSION TO INVESTIGATE AND REPORT ON THE EVENTS WHICH OCCURRED IN BAHRAIN IN FEBRUARY/MARCH 2011
73;BAHRAIN;2011;BAHRAIN: REFORM-BASED PEACE PROCESS;SPEECH BY KING HAMAD BIN ISA AL-KHALIFI ON REFORM, 1 JUNE 2011
70;BAHRAIN;2012;BAHRAIN: REFORM-BASED PEACE PROCESS;HIS MAJESTY DELIVERS A SPEECH TO CITIZENS CONCERNING REQUEST TO AMEND SOME ARTICLES OF THE CONSTITUTION, 15 JANUARY 2012
75;BANGLADESH/CHITTAGONG HILL TRACTS;1997;BANGLADESH-CHITTAGONG HILLS TRACTS: PEACE PROCESS;AGREEMENT BETWEEN THE NATIONAL COMMITTEE ON CHITTAGONG HILL TRACTS CONSTITUTED BY THE GOVERNMENT AND THE PARBATTYA CHATTAGRAM JANASANGHATI SAMITY
170;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;AGREEMENT ON THE SEPARATION OF FORCES IN THE AREA OF SARAJEVO AIRPORT (COLLECTION OF SARAJEVO AGREEMENTS)
171;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;AGREEMENT FREEDOM OF MOVEMENT FOR CIVILIANS LINKED WITH THE SAFETY OF THE AIRPORT
172;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;STATEMENT
173;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;CONCLUSIONS
174;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;PRESS RELEASE
175;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;ANNOUNCEMENT (CEASEFIRE FOR VITEZ MUNICIPALITY)
176;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;LOCAL PEACE PROCESSES IN BOSNIA;AGREEMENT BETWEEN THE HVO SANTICI AND REPRESENTATIVES OF THE MUSLIM PEOPLE OF AHMICI, CONCLUDED AT THE HOME OF NENAD SANTIC ON 22 OCTOBER 1992
177;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;JOINT STATEMENT ISSUED AT GENEVA ON 19 OCTOBER 1992 BY THE PRESIDENT OF YUGOSLAVIA AND THE PRESIDENT OF BOSNIA AND HERZEGOVINA
178;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;LOCAL PEACE PROCESSES IN BOSNIA;AGREEMENT ON ESTABLISHING A CEASEFIRE AND CESSATION OF HOSTILITIES
179;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;AGREEMENT ON THE RELEASE AND TRANSFER OF PRISONERS
180;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;ADDENDUM TO THE AGREEMENT ON THE FRIENDSHIP AND COOPERATION BETWEEN THE REPUBLIC OF BOSNIA AND HERZEGOVINA AND THE REPUBLIC OF CROATIA
181;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;DECLARATION OF 19 SEPTEMBER 1992 OF HARIS SILAJDZIC, RADOVAN KARADIZIC AND MATE BOBAN
182;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;WORK PROGRAMME OF THE CONFERENCE, INTERNATIONAL CONFERENCE ON YUGOSLAVIA (THE LONDON CONFERENCE)
183;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;CONCLUSIONS ON IMPLEMENTATION OF EXISTING SANCTIONS, INTERNATIONAL CONFERENCE ON YUGOSLAVIA (THE LONDON CONFERENCE)
184;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;CONFIDENCE, SECURITY-BUILDING AND VERIFICATION (THE LONDON CONFERENCE)
185;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;SPECIFIC DECISIONS BY THE LONDON CONFERENCE, INTERNATIONAL CONFERENCE ON FORMER YUGOSLAVIA (THE LONDON CONFERENCE)
186;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;STATEMENT OF PRINCIPLES ON BOSNIA, INTERNATIONAL CONFERENCE ON FORMER YUGOSLAVIA (THE LONDON CONFERENCE)
187;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;PROGRAMME OF ACTION ON HUMANITARIAN ISSUES AGREED BETWEEN THE CO-CHARIMEN TO THE CONFERENCE AND THE PARTIES TO THE CONFLICT, INTERNATIONAL CONFERENCE ON YUGOSLAVIA (THE LONDON CONFERENCE)
188;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;STATEMENT OF PRINCIPLES, INTERNATIONAL CONFERENCE ON YUGOSLAVIA (THE LONDON CONFERENCE)
189;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;LOCAL PEACE PROCESSES IN BOSNIA;PROTOCOL
190;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;AGREEMENT ON FRIENDSHIP AND COOPERATION BETWEEN THE REPUBLIC OF BOSNIA AND HERZEGOVINA AND THE REPUBLIC OF CROATIA
191;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;TEXT OF THE AGREEMENT SIGNED AT LONDON ON 17 JULY 1992 BY MR. BOBAN, DR. KARADZIC AND DR. SILAJDZIC
192;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;JOINT STATEMENT
193;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;AGREEMENT ON MUTUAL RELEASE OF THE PRISONERS ALONG THE LINE “ALL FOR ALL”
194;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;JOINT STATEMENT
195;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;AGREEMENT (ICRC HUMANITARIAN PRINCIPLES)
196;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;AGREEMENT OF 5 JUNE 1992 ON THE REOPENING OF THE SARAJEVO AIRPORT FOR HUMANITARIAN PURPOSES
197;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;AGREEMENT BY THE SERBIAN REPUBLIC OF BOSNIA AND HERCEGOVINA WITH REGARD TO THE OPENING OF SARAJEVO AIRPORT
198;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;AGREEMENT BY THE REPUBLIC OF BOSNIA HERZEGOVINA WITH REGARD TO THE CONCENTRATION OF ALL HEAVY WEAPONS IN AND AROUND SARAJEVO
199;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;AGREEMENT NO. 2 (ICRC GENEVA)
200;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;GENEVA AGREEMENT ON HUMANITARIAN PRINCIPLES
201;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;SPORAZUM O PREKIDU VATRE U BOSNI I HERCEGOVINI
202;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;AGREEMENT ON REMOVAL OF COMMANDS, UNITS AND INSTITUTIONS FROM GARRISONS-BARRACKS OF ZENICA, TRAVNIK, KONJIC AND BARRACKS AND INSTITUTIONS IN SARAJEVO
203;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;LOCAL PEACE PROCESSES IN BOSNIA;THE PUBLIC ANNOUNCEMENT (GRAZ AGREEMENT)
204;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;CEASEFIRE AGREEMENT
205;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;PROTOCOL (ILIDZA CEASEFIRE)
206;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;BOSNIA-HERZEGOVINA CEASEFIRE AGREEMENT
207;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;SARAJEVO DECLARATION ON THE HUMANITARIAN TREATMENT OF DISPLACED PERSONS
208;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1992;BOSNIA PEACE PROCESS;STATEMENT OF PRINCIPLES FOR NEW CONSTITUTIONAL ARRANGEMENTS FOR BOSNIA AND HERZEGOVINA (CARRINGTON-CUTILIERO PLAN OF MARCH 1992)
132;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1993;BOSNIA PEACE PROCESS;LOCAL CEASEFIRE AGREEMENT MOSTAR - BIJELA
133;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1993;BOSNIA PEACE PROCESS;AGREEMENT BETWEEN LIEUTENANT GENERAL ANTE ROSO, HVO COMMANDER AND BRIGADIER GENERAL JG REITH, CBE, BRITISH FORCES COMMANDER REACHED AT THE MEETING HELD ON MONDAY, 22 NOVEMBER 1993 IN TOMISLAVGRAD
134;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1993;BOSNIA PEACE PROCESS;JOINT DECLARATION
135;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1993;BOSNIA PEACE PROCESS;SARAJEVO JOINT DECLARATION
136;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1993;LOCAL PEACE PROCESSES IN BOSNIA;JOINT STATEMENT
137;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1993;LOCAL PEACE PROCESSES IN BOSNIA;DECLARATION
138;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1993;LOCAL PEACE PROCESSES IN BOSNIA;JOINT STATEMENT
139;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1993;BOSNIA PEACE PROCESS;AGREEMENT RELATING TO BOSNIA AND HERZEGOVINA (OWEN-STOLTENBERG PEACE PLAN, OR 'INVINCIBLE PLAN')
140;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1993;BOSNIA PEACE PROCESS;AGREEMENT ON THE EVACUATION OF THE SEVERELY SICK AND WOUNDED
141;BOSNIA AND HERZEGOVINA/YUGOSLAVIA (FORMER);1993;BOSNIA PEACE PROCESS;AGREEMENT FOR WITHDRAWAL OF FORCES FROM IGMAN AND BJELASNICA
